Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values
1943      7               -1.4  
1943      8                0.3  
1943      9               -1.7  
1943     10               -4.7  
1943     11              -13.0  
1943     12              -12.7  
1944      1              -11.4  
1944      2              -18.4  
1944      3              -17.0  
1944      4               -8.9  
1944      5               -6.3  
1944      6               -4.1  
1944      7               -1.8  
1944      8                1.7  
1944      9               -3.3  
1944     10               -9.0  
1944     11              -12.3  
1944     12              -14.8  
1945      1              -19.7  
1945      2              -10.4  
1945      3              -11.6  
1945      4               -8.9  
1945      5               -5.3  
1945      6               -1.8  
1945      7                0.3  
1945      8               -2.3  
1945      9               -2.8  
1945     10               -5.9  
1945     11              -11.0  
1945     12              -14.1  
1946      1              -14.2  
1946      2              -14.4  
1946      3              -10.8  
1946      4               -7.1  
1946      5               -5.7  
1946      6               -3.9  
1946      7                0.3  
1946      8               -1.1  
1946      9               -1.2  
1946     10               -6.9  
1946     11              -10.1  
1946     12              -15.8  
1947      1              -16.4  
1947      2              -15.7  
1947      3              -11.4  
1947      4               -7.4  
1947      5               -4.0  
1947      6               -1.4  
1947      7                1.0  
1947      8                0.5  
1947      9               -1.9  
1947     10               -4.3  
1947     11              -10.0  
1947     12              -15.4  
1948      1              -13.1  
1948      2              -15.3  
1948      3               -7.8  
1948      4               -9.0  
1948      5               -5.1  
1948      6               -4.5  
1948      7               -3.4  
1948      8               -1.2  
1948      9               -1.5  
1948     10               -4.1  
1948     11               -6.5  
1948     12              -10.8  
1949      1              -12.3  
1949      2              -11.5  
1949      3              -15.4  
1949      4               -7.5  
1949      5               -6.8  
1949      6               -3.6  
1949      7               -0.7  
1949      8               -0.6  
1949      9               -0.7  
1949     10               -3.4  
1949     11              -12.5  
1949     12              -11.0  
1950      1              -13.3  
1950      2              -12.4  
1950      3              -10.3  
1950      4              -12.5  
1950      5               -4.7  
1950      6               -0.8  
1950      7                1.2  
1950      8                0.1  
1950      9               -3.7  
1950     10               -5.4  
1950     11              -10.9  
1950     12              -15.6  
1951      1              -13.6  
1951      2              -16.0  
1951      3              -15.1  
1951      4              -11.1  
1951      5               -7.3  
1951      6               -3.5  
1951      7               -0.3  
1951      8               -0.7  
1951      9               -1.3  
1951     10               -6.2  
1951     11               -9.9  
1951     12               -9.9  
1952      1              -17.0  
1952      2              -16.1  
1952      3              -11.8  
1952      4               -8.0  
1952      5               -7.0  
1952      6               -1.9  
1952      7                1.7  
1952      8                0.0  
1952      9               -6.3  
1952     10               -8.2  
1952     11              -14.1  
1952     12              -14.5  
1953      1              -14.5  
1953      2              -15.3  
1953      3              -11.5  
1953      4               -9.4  
1953      5               -6.2  
1953      6               -4.3  
1953      7               -0.1  
1953      8               -0.6  
1953      9               -1.7  
1953     10               -4.8  
1953     11               -5.4  
1953     12              -10.6  
1954      1              -17.4  
1954      2              -14.9  
1954      3              -12.3  
1954      4              -11.7  
1954      5               -7.2  
1954      6               -2.1  
1954      7               -3.7  
1954      8               -2.4  
1954      9               -3.1  
1954     10               -5.6  
1954     11               -9.3  
1954     12              -11.8  
1955      1              -12.0  
1955      2              -17.5  
1955      3              -14.4  
1955      4              -11.0  
1955      5               -7.4  
1955      6               -3.7  
1955      7               -1.4  
1955      8               -2.7  
1955      9               -4.0  
1955     10               -7.1  
1955     11               -8.9  
1955     12              -11.9  
1956      1              -12.9  
1956      2              -21.7  
1956      3              -14.2  
1956      4              -13.0  
1956      5               -6.6  
1956      6               -6.0  
1956      7               -1.3  
1956      8               -2.1  
1956      9               -1.9  
1956     10               -7.9  
1956     11              -11.5  
1956     12              -12.5  
1957      1              -14.3  
1957      2              -13.3  
1957      3               -8.7  
1957      4              -10.9  
1957      5               -8.6  
1957      6               -2.6  
1957      7               -1.5  
1957      8               -2.1  
1957      9               -4.3  
1957     10               -4.0  
1957     11               -7.7  
1957     12              -12.2  
1958      1              -12.7  
1958      2              -12.6  
1958      3              -16.1  
1958      4              -13.6  
1958      5               -3.9  
1958      6               -3.7  
1958      7               -0.4  
1958      8                0.3  
1958      9               -0.8  
1958     10               -6.7  
1958     11               -9.3  
1958     12              -11.9  
1959      1              -15.1  
1959      2              -10.7  
1959      3              -10.7  
1959      4               -9.3  
1959      5               -6.6  
1959      6               -2.8  
1959      7                0.1  
1959      8               -1.4  
1959      9               -1.0  
1959     10               -5.8  
1959     11              -10.2  
1959     12              -12.8  
1960      1              -15.3  
1960      2              -13.8  
1960      3              -12.8  
1960      4              -11.2  
1960      5               -5.8  
1960      6               -2.2  
1960      7               -2.9  
1960      8               -2.4  
1960      9               -4.6  
1960     10               -8.9  
1960     11              -10.8  
1960     12              -13.8  
1961      1              -14.1  
1961      2              -11.8  
1961      3              -10.6  
1961      4               -8.0  
1961      5               -8.0  
1961      6               -1.9  
1961      7               -2.8  
1961      8               -0.8  
1961      9                0.0  
1961     10               -5.3  
1961     11               -9.8  
1961     12              -12.0  
1962      1              -13.1  
1962      2              -15.3  
1962      3              -15.6  
1962      4              -12.6  
1962      5               -8.5  
1962      6               -3.9  
1962      7               -1.9  
1962      8                1.0  
1962      9               -2.4  
1962     10               -3.4  
1962     11              -12.8  
1962     12              -15.0  
1963      1              -17.6  
1963      2              -17.8  
1963      3              -12.4  
1963      4               -9.3  
1963      5               -6.9  
1963      6               -2.8  
1963      7                0.5  
1963      8               -2.0  
1963      9               -2.6  
1963     10               -4.3  
1963     11               -8.6  
1963     12              -11.6  
1964      1              -10.4  
1964      2              -12.9  
1964      3              -12.6  
1964      4               -9.8  
1964      5               -5.1  
1964      6               -1.2  
1964      7                0.0  
1964      8               -1.4  
1964      9               -1.5  
1964     10               -9.1  
1964     11               -8.5  
1964     12              -12.8  
1965      1              -14.7  
1965      2              -18.5  
1965      3              -13.5  
1965      4              -13.2  
1965      5               -7.5  
1965      6               -2.8  
1965      7               -2.4  
1965      8               -2.4  
1965      9               -4.8  
1965     10               -3.3  
1965     11              -12.7  
1965     12              -13.5  
1966      1              -14.9  
1966      2              -10.5  
1966      3              -14.9  
1966      4               -9.0  
1966      5               -6.6  
1966      6               -2.7  
1966      7               -2.9  
1966      8               -2.3  
1966      9               -0.5  
1966     10               -5.0  
1966     11              -14.3  
1966     12              -14.4  
1967      1              -14.2  
1967      2              -13.1  
1967      3              -12.9  
1967      4              -12.0  
1967      5               -6.7  
1967      6               -3.8  
1967      7                0.8  
1967      8               -0.4  
1967      9               -3.7  
1967     10               -3.3  
1967     11               -7.4  
1967     12              -14.8  
1968      1              -16.8  
1968      2              -13.7  
1968      3              -11.9  
1968      4               -8.7  
1968      5               -6.8  
1968      6               -3.5  
1968      7               -1.6  
1968      8               -2.7  
1968      9               -3.9  
1968     10               -3.5  
1968     11               -8.4  
1968     12              -15.2  
1969      1              -12.6  
1969      2              -18.8  
1969      3              -12.9  
1969      4              -11.9  
1969      5               -5.0  
1969      6               -4.8  
1969      7                0.1  
1969      8               -2.6  
1969      9               -1.2  
1969     10               -2.6  
1969     11              -10.6  
1969     12              -16.1  
1970      1              -12.4  
1970      2              -17.8  
1970      3              -16.8  
1970      4              -14.7  
1970      5               -8.7  
1970      6               -2.4  
1970      7               -1.5  
1970      8               -1.0  
1970      9               -1.1  
1970     10               -6.6  
1970     11               -8.5  
1970     12              -14.1  
1971      1              -14.1  
1971      2              -14.7  
1971      3              -16.7  
1971      4               -8.4  
1971      5               -5.1  
1971      6               -5.1  
1971      7                0.2  
1971      8                0.5  
1971      9               -3.4  
1971     10               -3.0  
1971     11              -11.1  
1971     12               -8.7  
1972      1              -14.0  
1972      2              -13.0  
1972      3              -11.7  
1972      4              -11.1  
1972      5               -8.3  
1972      6               -3.6  
1972      7               -1.1  
1972      8               -1.9  
1972      9               -6.4  
1972     10               -5.6  
1972     11               -9.8  
1972     12              -10.2  
1973      1              -12.0  
1973      2              -16.8  
1973      3              -13.8  
1973      4              -14.3  
1973      5               -5.2  
1973      6               -2.2  
1973      7               -2.2  
1973      8                0.8  
1973      9               -2.2  
1973     10               -6.2  
1973     11              -10.4  
1973     12              -13.4  
1974      1              -10.7  
1974      2              -13.9  
1974      3              -12.5  
1974      4              -11.4  
1974      5               -7.7  
1974      6               -5.0  
1974      7               -2.1  
1974      8               -0.1  
1974      9               -4.1  
1974     10              -14.6  
1974     11              -11.7  
1974     12              -12.1  
1975      1              -10.9  
1975      2              -12.1  
1975      3              -15.0  
1975      4              -10.9  
1975      5               -6.8  
1975      6               -4.9  
1975      7               -1.1  
1975      8               -1.1  
1975      9               -1.8  
1975     10               -6.5  
1975     11              -10.5  
1975     12               -9.6  
1976      1              -14.9  
1976      2              -12.1  
1976      3              -13.9  
1976      4              -10.9  
1976      5               -5.9  
1976      6               -2.3  
1976      7               -1.1  
1976      8               -3.2  
1976      9               -5.0  
1976     10               -5.4  
1976     11              -11.5  
1976     12              -14.7  
1977      1              -15.1  
1977      2              -13.9  
1977      3              -10.0  
1977      4              -11.7  
1977      5               -7.5  
1977      6               -4.0  
1977      7               -1.0  
1977      8               -2.5  
1977      9               -4.0  
1977     10               -3.5  
1977     11              -12.6  
1977     12              -10.4  
1978      1              -14.9  
1978      2              -15.0  
1978      3              -12.8  
1978      4              -12.4  
1978      5               -7.9  
1978      6               -4.8  
1978      7               -2.3  
1978      8               -2.1  
1978      9               -3.8  
1978     10               -4.4  
1978     11               -8.0  
1978     12              -11.5  
1979      1              -16.6  
1979      2              -13.2  
1979      3              -13.2  
1979      4              -13.2  
1979      5               -7.3  
1979      6               -2.0  
1979      7               -2.2  
1979      8               -2.4  
1979      9               -1.5  
1979     10               -4.6  
1979     11               -9.8  
1979     12              -12.8  
1980      1              -16.2  
1980      2              -12.6  
1980      3              -13.0  
1980      4              -14.2  
1980      5               -8.2  
1980      6               -5.4  
1980      7               -3.0  
1980      8                0.0  
1980      9               -1.5  
1980     10               -7.1  
1980     11              -10.5  
1980     12              -14.7  
1981      1              -15.6  
1981      2              -14.6  
1981      3              -10.5  
1981      4               -9.3  
1981      5               -6.8  
1981      6               -3.1  
1981      7               -2.1  
1981      8               -0.4  
1981      9               -2.9  
1981     10               -7.5  
1981     11              -11.2  
1981     12              -15.7  
1982      1              -12.8  
1982      2              -13.1  
1982      3              -14.7  
1982      4              -10.8  
1982      5               -6.1  
1982      6               -2.4  
1982      7                0.8  
1982      8               -0.7  
1982      9               -0.3  
1982     10               -6.4  
1982     11               -8.5  
1982     12              -12.6  
1983      1              -10.9  
1983      2              -16.5  
1983      3              -11.3  
1983      4              -10.7  
1983      5               -8.2  
1983      6               -2.4  
1983      7                2.7  
1983      8               -0.6  
1983      9               -1.6  
1983     10               -4.9  
1983     11               -7.7  
1983     12              -11.2  
1984      1              -15.4  
1984      2              -16.6  
1984      3              -15.0  
1984      4              -11.2  
1984      5               -8.9  
1984      6               -4.6  
1984      7               -1.4  
1984      8               -1.5  
1984      9               -5.0  
1984     10               -4.5  
1984     11               -7.9  
1984     12              -11.5  
1985      1              -18.9  
1985      2              -12.7  
1985      3              -15.7  
1985      4              -10.7  
1985      5               -6.7  
1985      6               -5.1  
1985      7                0.6  
1985      8               -0.5  
1985      9               -0.2  
1985     10               -3.3  
1985     11              -12.8  
1985     12               -9.4  
1986      1              -17.0  
1986      2              -17.6  
1986      3              -12.9  
1986      4              -11.6  
1986      5               -4.3  
1986      6               -2.7  
1986      7               -1.0  
1986      8               -0.7  
1986      9               -1.2  
1986     10               -4.0  
1986     11               -7.7  
1986     12              -13.3  
1987      1              -15.1  
1987      2              -12.8  
1987      3              -17.1  
1987      4               -8.7  
1987      5               -8.8  
1987      6               -4.3  
1987      7               -0.1  
1987      8               -0.6  
1987      9               -0.4  
1987     10               -4.4  
1987     11              -10.2  
1987     12               -8.9  
1988      1              -12.8  
1988      2              -15.2  
1988      3              -15.9  
1988      4               -9.4  
1988      5               -4.6  
1988      6               -3.8  
1988      7                0.2  
1988      8                0.7  
1988      9               -2.4  
1988     10               -4.1  
1988     11               -9.1  
1988     12              -11.9  
1989      1               -8.9  
1989      2              -12.0  
1989      3               -9.6  
1989      4              -11.4  
1989      5               -4.3  
1989      6               -4.2  
1989      7               -0.4  
1989      8               -0.8  
1989      9               -2.9  
1989     10               -4.6  
1989     11               -8.8  
1989     12               -8.2  
1990      1              -11.0  
1990      2               -9.9  
1990      3              -10.5  
1990      4              -11.8  
1990      5               -4.7  
1990      6               -2.9  
1990      7                0.1  
1990      8                0.4  
1990      9               -3.9  
1990     10               -4.2  
1990     11              -11.7  
1990     12              -13.8  
1991      1              -10.9  
1991      2              -15.4  
1991      3               -9.0  
1991      4              -12.1  
1991      5               -9.2  
1991      6               -3.5  
1991      7                1.4  
1991      8                1.7  
1991      9               -0.9  
1991     10               -6.4  
1991     11              -10.0  
1991     12              -11.1  
1992      1              -10.0  
1992      2              -12.3  
1992      3              -12.6  
1992      4               -9.9  
1992      5               -4.3  
1992      6               -3.5  
1992      7                0.7  
1992      8                2.2  
1992      9               -2.5  
1992     10               -8.1  
1992     11               -7.2  
1992     12               -9.3  
1993      1               -9.6  
1993      2              -12.9  
1993      3              -12.7  
1993      4               -9.9  
1993      5               -4.9  
1993      6               -1.7  
1993      7               -1.4  
1993      8                0.3  
1993      9               -4.3  
1993     10               -6.8  
1993     11              -10.5  
1993     12              -11.9  
1994      1              -13.3  
1994      2              -14.0  
1994      3               -9.1  
1994      4              -11.5  
1994      5               -4.8  
1994      6               -2.2  
1994      7                2.0  
1994      8                1.2  
1994      9               -3.0  
1994     10               -5.2  
1994     11               -6.6  
1994     12              -10.2  
1995      1              -15.2  
1995      2              -11.0  
1995      3              -14.6  
1995      4               -9.6  
1995      5               -5.8  
1995      6               -3.5  
1995      7                2.5  
1995      8               -1.0  
1995      9               -5.5  
1995     10               -1.7  
1995     11              -10.1  
1995     12              -12.3  
1996      1              -10.9  
1996      2              -16.4  
1996      3              -14.3  
1996      4               -9.5  
1996      5               -5.6  
1996      6               -2.3  
1996      7               -1.3  
1996      8               -1.7  
1996      9               -6.0  
1996     10               -6.0  
1996     11              -10.8  
1996     12              -11.6  
1997      1              -10.8  
1997      2              -10.9  
1997      3               -9.9  
1997      4              -11.0  
1997      5               -5.4  
1997      6               -2.8  
1997      7               -1.8  
1997      8                0.7  
1997      9                0.8  
1997     10               -5.6  
1997     11               -9.1  
1997     12              -12.7  
1998      1              -11.8  
1998      2               -7.6  
1998      3              -11.6  
1998      4              -11.2  
1998      5               -4.7  
1998      6               -1.7  
1998      7               -0.1  
1998      8                1.2  
1998      9               -3.7  
1998     10               -6.9  
1998     11              -13.2  
1998     12              -12.2  
1999      1              -12.2  
1999      2              -15.6  
1999      3              -11.9  
1999      4              -10.3  
1999      5               -3.7  
1999      6               -2.8  
1999      7                0.4  
1999      8                0.4  
1999      9               -1.2  
1999     10               -4.8  
1999     11              -11.2  
1999     12              -13.3  
2000      1              -12.6  
2000      2              -12.3  
2000      3              -11.9  
2000      4               -9.1  
2000      5               -4.0  
2000      6               -0.6  
2000      7               -2.8  
2000      8                0.7  
2000      9               -1.7  
2000     10               -5.3  
2000     11              -10.7  
2000     12              -10.7  
2001      1              -12.6  
2001      2              -13.6  
2001      3              -10.4  
2001      4              -11.3  
2001      5               -2.9  
2001      6               -3.3  
2001      7               -0.1  
2001      8                1.4  
2001      9               -6.5  
2001     10               -2.1  
2001     11               -9.8  
2001     12              -14.0  
2002      1              -10.4  
2002      2              -11.6  
2002      3              -10.8  
2002      4              -10.3  
2002      5               -5.5  
2002      6               -0.1  
2002      7               -0.1  
2002      8               -0.6  
2002      9               -3.7  
2002     10               -5.5  
2002     11               -9.7  
2002     12              -10.7  
2003      1              -14.1  
2003      2              -16.0  
2003      3               -9.5  
2003      4               -9.6  
2003      5               -4.1  
2003      6                2.2  
2003      7                1.0  
2003      8                3.0  
2003      9               -1.7  
2003     10               -7.3  
2003     11               -7.1  
2003     12              -11.2  
2004      1              -14.5  
2004      2              -13.0  
2004      3              -12.6  
2004      4               -9.9  
2004      5               -6.9  
2004      6               -2.6  
2004      7               -0.7  
2004      8                0.1  
2004      9               -1.3  
2004     10               -4.5  
2004     11              -10.3  
2004     12              -11.0  
2005      1              -13.8  
2005      2              -18.4  
2005      3              -12.2  
2005      4               -9.3  
2005      5               -4.9  
2005      6               -1.0  
2005      7               -0.5  
2005      8               -1.6  
2005      9               -1.7  
2005     10               -2.6  
2005     11              -11.0  
2005     12              -14.6  
2006      1              -13.5  
2006      2              -14.7  
2006      3              -13.4  
2006      4               -9.5  
2006      5               -5.6  
2006      6               -1.0  
2006      7                2.8  
2006      8               -3.4  
2006      9                0.1  
2006     10               -2.3  
2006     11               -7.9  
2006     12               -9.3  
2007      1              -10.6  
2007      2              -10.3  
2007      3              -12.5  
2007      4               -5.7  
2007      5               -4.9  
2007      6               -1.4  
2007      7               -1.0  
2007      8               -0.2  
2007      9               -4.1  
2007     10               -4.5  
2007     11              -10.2  
2007     12              -12.6  
2008      1              -10.3  
2008      2               -9.5  
2008      3              -14.1  
2008      4              -11.1  
2008      5               -4.5  
2008      6               -0.7  
2008      7               -0.2  
2008      8                0.6  
2008      9               -3.5  
2008     10               -4.5  
2008     11              -10.9  
2008     12              -13.4  
2009      1              -13.9  
2009      2              -16.1  
2009      3              -12.8  
2009      4               -8.9  
2009      5               -3.7  
2009      6               -2.5  
2009      7                0.2  
2009      8                2.1  
2009      9               -1.2  
2009     10               -6.1  
2009     11               -8.4  
2009     12              -14.7  
2010      1              -15.7  
2010      2              -15.2  
2010      3              -13.5  
2010      4               -9.4  
2010      5               -6.6  
2010      6               -1.3  
2010      7                1.5  
2010      8               -0.8  
2010      9               -3.3  
2010     10               -5.3  
2010     11              -11.5  
2010     12              -15.2  
2011      1              -12.9  
2011      2              -11.9  
2011      3              -10.4  
2011      4               -6.8  
2011      5               -4.2  
2011      6               -1.5  
2011      7               -2.0  
2011      8                1.4  
2011      9                0.3  
2011     10               -3.7  
2011     11               -5.3  
2011     12              -12.4  
2012      1              -13.1  
2012      2              -15.9  
2012      3               -8.9  
2012      4              -10.2  
2012      5               -5.3  
2012      6               -0.7  
2012      7               -0.3  
2012      8                1.8  
2012      9               -1.6  
2012     10               -4.6  
2012     11               -7.3  
2012     12              -14.3  
2013      1              -13.6  
2013      2              -18.8  
2013      3              -13.8  
2013      4               -7.7  
2013      5               -8.0  
2013      6               -3.2  
2013      7                1.7  
2013      8                0.7  
2013      9               -1.8  
2013     10               -4.1  
2013     11              -10.0  
2013     12               -9.6  
2014      1              -12.3  
2014      2              -12.9  
2014      3               -9.4  
2014      4               -8.2  
2014      5               -6.9  
2014      6               -1.8  
2014      7               -0.6  
2014      8               -1.5  
2014      9               -1.7  
2014     10               -3.5  
2014     11               -7.2  
2014     12              -11.9  
2015      1              -13.4  
2015      2              -14.1  
2015      3              -10.6  
2015      4               -8.4  
2015      5               -4.2  
2015      6               -1.0  
2015      7                3.5  
2015      8                1.9  
2015      9               -3.8  
2015     10               -5.4  
2015     11               -7.0  
2015     12               -6.2  
2016      1              -12.5  
2016      2              -12.7  
2016      3              -12.8  
2016      4               -9.0  
2016      5               -6.3  
2016      6               -1.9  
2016      7                1.0  
2016      8                1.2  
2016      9               -0.5  
2016     10               -5.8  
2016     11               -9.3  
2016     12               -7.4  
2017      1              -15.1  
2017      2              -11.1  
2017      3               -8.7  
2017      4               -9.6  
2017      5               -4.3  
2017      6                1.2  
2017      7                0.7  
2017      8                1.6  
2017      9               -4.7  
2017     10               -3.8  
2017     11              -10.1  
2017     12              -13.6  
2018      1              -11.2  
2018      2              -16.9  
2018      3              -12.5  
2018      4               -5.9  
2018      5               -3.5  
2018      6               -0.2  
2018      7                1.4  
2018      8                2.0  
2018      9                0.4  
2018     10               -3.5  
2018     11               -8.3  
2018     12              -10.9  
2019      1              -16.0  
2019      2               -8.5  
2019      3              -10.8  
2019      4               -9.9  
2019      5               -7.6  
2019      6                1.2  
2019      7                1.6  
2019      8                1.6  
2019      9               -1.0  
2019     10               -3.4  
2019     11              -11.1  
2019     12               -9.5  
2020      1               -9.1  
2020      2               -9.9  
2020      3              -10.8  
2020      4               -6.1  
2020      5               -3.9  
2020      6               -2.2  
2020      7                1.0  
2020      8                1.5  
2020      9               -1.3  
2020     10               -6.4  
2020     11               -5.2  
2020     12              -12.4  
2021      1              -15.7  
2021      2               -9.7  
2021      3              -12.7  
2021      4              -11.6  
2021      5               -8.3  
2021      6                0.3  
